month,week,value
Tỉ lệ gặp/gọi ,Tuần 27.02-05.03,18.1561208958469
Tỉ lệ gặp/gọi,Tuần 06.03-12.03,15.0139664804469
Tỉ lệ gặp/gọi,Tuần 13.03-19.03,14.2570281124498
Tỉ lệ gặp/gọi,Tuần 20.03-26.03,17.1273712737127
Tỉ lệ gặp/gọi,Tuần 27.03-01.04,20.0099428287348
Tỉ lệ thu hồ sơ/gặp,Tuần 27.02-05.03,16.4071856287425
Tỉ lệ thu hồ sơ/gặp,Tuần 06.03-12.03,15.6589147286822
Tỉ lệ thu hồ sơ/gặp,Tuần 13.03-19.03,20.0312989045383
Tỉ lệ thu hồ sơ/gặp,Tuần 20.03-26.03,20.5696202531646
Tỉ lệ thu hồ sơ/gặp,Tuần 27.03-01.04,15.2795031055901
Tỉ lệ định giá/thu hồ sơ,Tuần 27.02-05.03,102.189781021898
Tỉ lệ định giá/thu hồ sơ,Tuần 06.03-12.03,127.722772277228
Tỉ lệ định giá/thu hồ sơ,Tuần 13.03-19.03,101.5625
Tỉ lệ định giá/thu hồ sơ,Tuần 20.03-26.03,106.153846153846
Tỉ lệ định giá/thu hồ sơ,Tuần 27.03-01.04,113.008130081301
Tỉ lệ đã trình/định giá,Tuần 27.02-05.03,100
Tỉ lệ đã trình/định giá,Tuần 06.03-12.03,86.046511627907
Tỉ lệ đã trình/định giá,Tuần 13.03-19.03,96.1538461538462
Tỉ lệ đã trình/định giá,Tuần 20.03-26.03,100.724637681159
Tỉ lệ đã trình/định giá,Tuần 27.03-01.04,96.4028776978417
Tỉ lệ phê duyệt/đã trình,Tuần 27.02-05.03,64.2857142857143
Tỉ lệ phê duyệt/đã trình,Tuần 06.03-12.03,69.3693693693694
Tỉ lệ phê duyệt/đã trình,Tuần 13.03-19.03,64.8
Tỉ lệ phê duyệt/đã trình,Tuần 20.03-26.03,69.0647482014388
Tỉ lệ phê duyệt/đã trình,Tuần 27.03-01.04,97.0149253731343
Tỉ lệ đã active/phê duyệt,Tuần 27.02-05.03,65.5555555555556
Tỉ lệ đã active/phê duyệt,Tuần 06.03-12.03,75.3246753246753
Tỉ lệ đã active/phê duyệt,Tuần 13.03-19.03,76.5432098765432
Tỉ lệ đã active/phê duyệt,Tuần 20.03-26.03,64.5833333333333
Tỉ lệ đã active/phê duyệt,Tuần 27.03-01.04,64.6153846153846
