thập,week,value
gọi,Tuần 27.02-05.03,4599
gọi,Tuần 06.03-12.03,4296
gọi,Tuần 13.03-19.03,4482
gọi,Tuần 20.03-26.03,3690
gọi,Tuần 27.03-01.04,4023
gặp,Tuần 27.02-05.03,835
gặp,Tuần 06.03-12.03,645
gặp,Tuần 13.03-19.03,639
gặp,Tuần 20.03-26.03,632
gặp,Tuần 27.03-01.04,805
thu_thập,Tuần 27.02-05.03,137
thu_thập,Tuần 06.03-12.03,101
thu_thập,Tuần 13.03-19.03,128
thu_thập,Tuần 20.03-26.03,130
thu_thập,Tuần 27.03-01.04,123
định,Tuần 27.02-05.03,140
định,Tuần 06.03-12.03,129
định,Tuần 13.03-19.03,130
định,Tuần 20.03-26.03,138
định,Tuần 27.03-01.04,139
trình,Tuần 27.02-05.03,140
trình,Tuần 06.03-12.03,111
trình,Tuần 13.03-19.03,125
trình,Tuần 20.03-26.03,139
trình,Tuần 27.03-01.04,134
phê,Tuần 27.02-05.03,90
phê,Tuần 06.03-12.03,77
phê,Tuần 13.03-19.03,81
phê,Tuần 20.03-26.03,96
phê,Tuần 27.03-01.04,130
active,Tuần 27.02-05.03,59
active,Tuần 06.03-12.03,58
active,Tuần 13.03-19.03,62
active,Tuần 20.03-26.03,62
active,Tuần 27.03-01.04,84
